Item number,Title,Variation details,Custom label (SKU),Available quantity,Format,Currency,Start price,Auction Buy It Now price,Reserve price,Current price,Sold quantity,Views (future),Watchers,Bids,Start date,End date,eBay category 1 name,eBay category 1 number,eBay category 2 name,eBay category 2 number,Condition,eBay Product ID(ePID),Listing site,P:UPC,P:EAN,P:ISBN
"403859808503",Universal Motorcycle Handlebar Grips For Motorcycles Motocross Dirt Bike E-Bike,Color=Black,,"10","FIXED_PRICE","USD",15.69,,,,"0",,,,"Aug-30-22 22:19:44 PDT","Jun-30-23 22:19:44 PDT","Grips, Covers & Pads","178006","","","NEW","","US","","",""
"403859808503",Universal Motorcycle Handlebar Grips For Motorcycles Motocross Dirt Bike E-Bike,Color=Brown,,"10","FIXED_PRICE","USD",15.69,,,,"0",,,,"Aug-30-22 22:19:44 PDT","Jun-30-23 22:19:44 PDT","Grips, Covers & Pads","178006","","","NEW","","US","","",""
"403859808503",Universal Motorcycle Handlebar Grips For Motorcycles Motocross Dirt Bike E-Bike,Color=Light Brown,,"10","FIXED_PRICE","USD",15.69,,,,"0",,,,"Aug-30-22 22:19:44 PDT","Jun-30-23 22:19:44 PDT","Grips, Covers & Pads","178006","","","NEW","","US","","",""
"403859808503",Universal Motorcycle Handlebar Grips For Motorcycles Motocross Dirt Bike E-Bike,Color=Sand,,"10","FIXED_PRICE","USD",15.69,,,,"0",,,,"Aug-30-22 22:19:44 PDT","Jun-30-23 22:19:44 PDT","Grips, Covers & Pads","178006","","","NEW","","US","","",""
"403864101424",Bluetooth Earphones Cleaning Kit For Airpods Earbuds Cleaning Tool,,,"10","FIXED_PRICE","USD",8.15,,,8.15,"0","","0","","Sep-02-22 08:35:07 PDT","Jul-02-23 08:35:07 PDT","Cleaning Equipment & Kits","175678","","","NEW","","US","","",""
"403864121426",6PCS ESD Anti-Static Stainless Steel Precision Tweezers Electronic Tweezer Set,,,"10","FIXED_PRICE","USD",9.17,,,9.17,"0","","0","","Sep-02-22 08:52:10 PDT","Jul-02-23 08:52:10 PDT","Jewelry Tools & Workbenches","262020","","","NEW","","US","","",""
"403864138182",ESD Heat-Resistant Working Mat Soldering Station Mat For Phone Computer Repair,,,"10","FIXED_PRICE","USD",18.35,,,18.35,"0","","2","","Sep-02-22 09:09:42 PDT","Jul-02-23 09:09:42 PDT","BGA Reballing Stations & Kits","182954","","","NEW","","US","","",""
"403868133641",Men's Backpack Multifunctional Waterproof Bags For Male Business Laptop Backpack,Color=Black;Gray;Blue;Red,,"39","FIXED_PRICE","USD",23.61,,,23.61,"1","","1","","Sep-04-22 16:47:11 PDT","Jul-04-23 16:47:11 PDT","Bags","52357","","","NEW","","US","","",""
"403868133641",Men's Backpack Multifunctional Waterproof Bags For Male Business Laptop Backpack,Color=Black,,"10","FIXED_PRICE","USD",23.61,,,,"0",,,,"Sep-04-22 16:47:11 PDT","Jul-04-23 16:47:11 PDT","Bags","52357","","","NEW","","US","","",""
"403868133641",Men's Backpack Multifunctional Waterproof Bags For Male Business Laptop Backpack,Color=Gray,,"10","FIXED_PRICE","USD",23.61,,,,"0",,,,"Sep-04-22 16:47:11 PDT","Jul-04-23 16:47:11 PDT","Bags","52357","","","NEW","","US","","",""
"403868133641",Men's Backpack Multifunctional Waterproof Bags For Male Business Laptop Backpack,Color=Blue,,"9","FIXED_PRICE","USD",23.61,,,,"1",,,,"Sep-04-22 16:47:11 PDT","Jul-04-23 16:47:11 PDT","Bags","52357","","","NEW","","US","","",""
"403868133641",Men's Backpack Multifunctional Waterproof Bags For Male Business Laptop Backpack,Color=Red,,"10","FIXED_PRICE","USD",23.61,,,,"0",,,,"Sep-04-22 16:47:11 PDT","Jul-04-23 16:47:11 PDT","Bags","52357","","","NEW","","US","","",""
"403868475342",Car Washing Snow Foam Bottle Lance Foam Cannon For High-Pressure Power Washers,,,"10","FIXED_PRICE","USD",19.37,,,19.37,"0","","1","","Sep-04-22 21:30:11 PDT","Jul-04-23 21:30:11 PDT","Other Automotive Care Supplies","179462","","","NEW","","US","","",""
"403868475343","Snow Foam Car Washer Spray Nozzles Set M22 1/4"" Quick Release Connector",,,"10","FIXED_PRICE","USD",27.53,,,27.53,"0","","0","","Sep-04-22 21:30:11 PDT","Jul-04-23 21:30:11 PDT","Other Automotive Care Supplies","179462","","","NEW","","US","","",""
