"﻿Some details are not available for inactive listings and campaigns."
""
"Start date","End date","Campaign name","Campaign ID","Campaign start date","Campaign end date","Item ID","Title","Price (Current or Last Price)","Quantity available","Listing start date","Listing end date","Promoted Listings Impressions (via eBay Placements)","Total Promoted Listings Clicks","Total Promoted Listings Sold quantity","Organic Sold Quantity","Total Quantity Sold","Promoted Listings Conversion rate (Promoted Listings Sold quantity/Promoted Listings Clicks)","Promoted Listings Contribution (Promoted Listings Sold quantity/Total Quantity Sold)","Total Promoted Listings Sales","Ad fees","Return on Ad spend (Sales/Ad fees)","Average cost per sale","Promoted Listings Clicks (via eBay placements)","Promoted Listings Clicks (via external placements)","Promoted Listings Sold Quantity (via eBay placements)","Promoted Listings Sold Quantity (via external placements)","Promoted Listings Sales (via eBay placements)","Promoted Listings Sales (via external placements)","Ad fees (via eBay placements)","Ad fees (via external placements)","Promoted Listings Conversion Rate (via eBay placements)","Promoted Listings Conversion Rate (via external placements)","Organic Clicks","Organic Impressions"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403847663186","Portable Outdoor Gas Camping Stove Cooking System For Camping Hunting Fishing","$ 74.72","30","Sep 29, 2022","Jun 23, 2023","42","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","2"
"Jun 05, 2023","Jun 06, 2023","US Campaign Nov 04 2022, 10:08:39","13302420015","Nov 04, 2022","","404008242187","Portable Electric Juicer Blender USB Rechargeable Handheld Mini Blender","$ 39.98","20","Mar 21, 2023","Jun 20, 2023","51","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","34"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403844898304","Portable Cordless Electric Air Duster / Wireless Air Duster For Cars Home Office","$ 55.16","10","Aug 21, 2022","Jun 21, 2023","2","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","6"
"Jun 05, 2023","Jun 06, 2023","Campaign Jun 05 2023, 22:59:59","13848993015","Jun 05, 2023","","404321447411","Photochromic Cycling Glasses - UV400 Sunglasses for Outdoor Sports & Hiking","$ 11.98","20","Jun 05, 2023","Jul 05, 2023","0","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","8"
"Jun 05, 2023","Jun 06, 2023","US Campaign Jun 15, 2022 18:15:08","12986415015","Jun 15, 2022","","403875520309","Orange Motorcycle LED Headlight & Fairing For KTM EXC SXF MX Dirt Bike Supermoto","$ 77.98","0","Sep 29, 2022","Jun 08, 2023","0","0","0","","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","","","$ 0.00","","0.00%","0.00%","0",""
"Jun 05, 2023","Jun 06, 2023","Campaign May 30 2023, 20:43:16","13832752015","May 30, 2023","","404312762876","Naturehike Mongar 2 Person Backpacking Tent Ultralight Travel Camping Tent","$ 171.98","60","May 30, 2023","Jun 30, 2023","54","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","38"
"Jun 05, 2023","Jun 06, 2023","Campaign Apr 09 2023, 20:31:48","13680635015","Apr 09, 2023","","404238937456","MT-16 Extend Tablet Tripod with Cold Shoe for Microphone LED Video Fill Light Sm","$ 27.98","40","Apr 09, 2023","Jun 09, 2023","67","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","8"
"Jun 05, 2023","Jun 06, 2023","Campaign Apr 09 2023, 20:31:48","13680635015","Apr 09, 2023","","404238927399","MT-11 Flexible Octopus Tripod Smartphone DSLR SLR Vlog Travel Portable Tripod","$ 26.98","30","Apr 09, 2023","Jun 09, 2023","50","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","15"
"Jun 05, 2023","Jun 06, 2023","Campaign Mar 01 2023, 22:31:49","13580451015","Mar 01, 2023","","404184782092","Motorcycle Fuel Tank Bag For R1250GS S1000XR F850GS R1200RT/RS F750GS F900XR","$ 94.98","10","Mar 01, 2023","Jul 01, 2023","4","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","16"
"Jun 05, 2023","Jun 06, 2023","US Campaign Nov 04 2022, 10:08:39","13302420015","Nov 04, 2022","","404008169790","Mini Portable Coffee Bean Grinder Professional Ceramic Grinding Core USB Grinder","$ 37.98","10","Nov 20, 2022","Jun 20, 2023","2","0","0","0","0","0.00%","0.00%","$ 0.00","$ 0.00","0.00","$ 0.00","0","0","0","","$ 0.00","","$ 0.00","","0.00%","0.00%","0","13"
